MinistryName,MinisterName,EventDate,EventTitle,EventLocation,EventParticipants
Ministério da Economia,Paulo Guedes,2020-02-03 18:00,"Reunião semanal com o secretário especial de Desburocratização, Gestão e Governo Digital, Paulo Uebel",Local: Ministério da Economia – Bloco P,"['Daniella Marques - Assessora Especial de Assuntos Estratégicos', 'Marcelo Guaranys - Secretário Executivo', 'Wagner Lenhart - Secretário de Gestão e Desempenho de Pessoal', 'Gleisson Rubin - Secretário Especial Adjunto de Desburocratização', 'Gestão e Governo Digital', 'Cristiano Heckert - Secretário de Gestão', 'Marcelo Siqueira - Assessor Especial do Ministro', 'Geanluca Lorenzon - Diretor de Programa', 'José Ziebarth - Diretor de Programa', 'Erika Melissa Nassar - Diretora de Programa']"
Ministério da Economia,Paulo Guedes,2020-02-03 19:00,"Reunião com o secretário especial de Fazenda, Waldery Rodrigues",Local: Ministério da Economia – Bloco P,"['Daniella Marques - Assessora Especial de Assuntos Estratégicos', 'Marcelo Guaranys - Secretário Executivo', 'Waldery Rodrigues - Secretário Especial da Fazenda', 'Jeferson Bittencourt - Secretário Especial da Fazenda Adjunto', 'Geraldo Julião - Secretário de Orçamento Federal', 'Alexandre Manoel - Secretário de Avaliação', 'Planejamento', 'Energia e Loteria', 'Mansueto Almeida - Secretário do Tesouro Nacional', 'Aumara Feu - Subsecretária da Subsecretaria de Avaliação de Gastos Diretos', 'Marcelo Siqueira - Assessor Especial do Ministro Filipe Aguiar - Assessor Especial da Fazenda', 'Rafaelo  Abritta - Assessor do Ministro', 'Caio Megale - Diretor de Programa', 'Bruno Funchal - Diretor de Programa', 'Gustavo Guimarães - Diretor de Programa', 'Gustavo Lobo - Diretor de Programa', 'Fabiana Rodopoulos - Diretora de Programa']"
Ministério da Economia,Paulo Guedes,2020-03-16 10:00, Reunião-geral de secretários do Ministério da Economia,Local: Ministério da Economia – Bloco P,"['Daniella Marques - Assessora Especial de Assuntos Estratégicos', 'Marcelo Guaranys - Secretário Executivo', 'Cinara Lima - Chefe de Gabinete do Ministro da Economia', 'José Tostes - Secretário Especial da Receita Federal', 'Waldery Rodrigues - Secretário Especial de Fazenda', 'Carlos Da Costa - Secretário Especial de Produtividade e Competitividade', 'Yana Dumaresq - Secretária Especial do Comércio Exterior e Assuntos Internacionais - Adjunta', 'Paulo Uebel - Secretário Especial de Desburocratização', 'Gestão e Governo Digital', 'Idalício Silva - Secretário Especial de Desestatização', 'Desinvestimento e Mercados- Adjunto', 'Bruno Bianco - Secretário Especial de Previdência e Trabalho', 'Martha Seillier - Secretária Especial do Programa de Parceiras e Investimentos (PPI)', 'Marcelo Siqueira - Assessor Especial do Ministro', 'Bruno Travassos - Chefe da Assessoria  Especial  de Assuntos Parlamentares', 'Esteves Colnago - Chefe da Assessoria Especial de Relações Institucionais', 'Erica Andrade - Chefe da Assessoria Especial de Comunicação Social', 'Substituta', 'José Levi - Procurador-Geral da Fazenda Nacional', 'Vitor Saback - Assessor Especial do Ministro']"
Ministério da Economia,Paulo Guedes,2020-03-16 12:00,Almoço com os secretários especiais,Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário-Executivo       ', 'Daniella Marques - Chefe da Assessoria Assessora Especial de Assuntos Estratégicos     ', 'José Levi - Procurador-Geral da Fazenda Nacional', 'Martha Seillier - Secretária Especial do Programa de Parceiras e Investimentos (PPI)      ', 'José Tostes - Secretário Especial da Receita Federal', 'Waldery Rodrigues - Secretário Especial da Fazenda', 'Paulo Uebel - Secretário Especial de Desburocratização', 'Gestão e Governo Digital      ', 'Bruno Bianco - Secretário Especial de Previdência e Trabalho ', 'Esteves Colnago - Chefe da Assessoria Especial de Relações Institucionais', 'Marcelo Siqueira - Assessor Especial do Ministro            ', 'Samuel Kinoshita - Assessor Especial do Ministro em SP    ', 'Aloísio Araújo - Assessor Especial do Ministro  ']"
Ministério da Economia,Paulo Guedes,2020-03-16 14:30,"Reunião semanal com o secretário especial da Receita Federal, José Tostes",Local: Ministério da Economia – Bloco P,['anessa Canado – Assessora Especial do Ministro']
Ministério da Economia,Paulo Guedes,2020-03-16 16:30,"Reunião semanal com o secretário Especial de Fazenda, Waldery Rodrigues",Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário Executivo', 'Daniella Marques - Chefe da Assessoria Especial de Assuntos Estratégicos', 'Jeferson Bittencourt - Secretário Especial da Fazenda Adjunto', 'Caio Megale - Diretor de Programa', 'Adolfo Sachsida - Secretário de Política Econômica', 'Vladimir Teles - Subsecretário de Política Econômica', 'Aumara Feu - Secretaria de Avaliação', 'Planejamento', 'Energia e Loteria Adjunta', 'Pricilla Santana - Subsecretária de Relações Financeiras Intergovernamentais - STN', 'Bruno Funchal - Diretor de Programa', 'Gustavo Guimarães - Diretor de Programa', 'Gustavo Tillmann - Diretor de Programa', 'George Soares - Secretário de Orçamento Federal - SOF']"
Ministério da Economia,Paulo Guedes,2020-03-09 10:00,Reunião-geral de secretários do Ministério da Economia,Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário-Executivo', 'Daniella Marques - Assessora Especial de Assuntos Estratégicos', 'Cinara Lima - Chefe de Gabinete do Ministro da Economia', 'José Levi - Procurador-Geral da Fazenda Nacional', 'Ricardo Soriano - Procurador-Geral da Fazenda Adjunto', 'Ana Paula Bittencourt - Subprocuradora-Geral da Fazenda Nacional', 'José Barroso Tostes Neto - Secretário Especial da Receita Federal', 'Waldery Rodrigues - assessor especial de Relações Institucionais', 'Esteves Colnago - assessor especial de Relações Institucionais', 'Adolfo Sachsida - Secretário de Política Econômica', 'Mansueto Almeida - Secretário do Tesouro Nacional', 'Carlos Da Costa - Secretário Especial de Produtividade e Competitividade', 'Bruno Portela - Secretário Especial de Produtividade e Competitividade - Adjunto', 'Marcos Troyjo - Secretário Especial do Comércio Exterior e Assuntos Internacionais', 'Yana Dumaresq - Secretário Especial do Comércio Exterior e Assuntos Internacionais Adjunto', 'Paulo Uebel  - Secretário Especial de Desburocratização', 'Gestão e Governo Digital', 'Gleisson Rubin - Secretário Especial de Desburocratização', 'Gestão e Governo Digital - Adjunto', 'Salim Mattar - Secretário Especial de Desestatização', 'Desinvestimento e Mercados', 'Rogério Marinho - Secretário Especial de Previdência e Trabalho', 'Bruno Bianco - Secretário Especial de Previdência e Trabalho', 'Adjunto ', 'Marcelo Siqueira - Assessor Especial do Ministro', 'Bruno Travassos - Chefe da Assessoria Especial de Assuntos Parlamentares', 'Vitor Saback - Assessor Especial do Ministro', 'Aloísio Araújo - Assessor Especial do Ministro ', 'Samuel Kinoshita - Assessor Especial do Ministro em SP', 'Gabriela Valente - Chefe da Assessoria Especial de Comunicação Social', '']"
Ministério da Economia,Paulo Guedes,2020-03-09 12:00,Almoço com os secretários especiais,Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário-Executivo', 'Daniella Marques - Assessora Especial de Assuntos Estratégicos', 'José Levi - Procurador-Geral da Fazenda Nacional', 'José Barroso Tostes Neto - Secretário Especial da Receita Federal', 'Waldery Rodrigues - Secretário Especial da Fazenda', 'Carlos Da Costa - Secretário Especial de Produtividade e Competitividade', 'Marcos Troyjo - Secretário Especial do Comércio Exterior e Assuntos Internacionais ', 'Paulo Uebel - Secretário Especial de Desburocratização', 'Gestão e Governo Digital ', 'Bruno Bianco - Secretário Especial de Previdência e Trabalho ', 'Salim Mattar - Secretário Especial de Desestatização', 'Desinvestimento e Mercados', 'Martha Seillier - Secretária Especial do Programa de Parceiras e Investimentos (PPI)', 'Esteves Colnago - assessor especial de Relações Institucionais ', 'Marcelo Siqueira - Assessor Especial do Ministro ', 'Samuel Kinoshita - Assessor Especial do Ministro em SP', 'Aloísio Araújo - Assessor Especial do Ministro ', 'Guilherme Afif - Assessor Especial do Ministro']"
Ministério da Economia,Paulo Guedes,2020-03-09 14:30,"Reunião semanal com o secretário especial de Desburocratização, Gestão e Governo Digital, Paulo Uebel",Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário Executivo ', 'Daniella Marques - Chefe da Assessoria Especial de Assuntos Estratégicos ', 'Marcelo Siqueira - Chefe da Assessoria Especial do Ministro ', 'Rafaelo Abritta - Assessor Especial do Ministro', 'Samuel Kinoshita - Assessor Especial ', 'Erika Melissa Nassar - Diretora de Programa da SE', 'Geanluca Lorenzon - Diretor de Programa SEDGG/ME', 'José Antônio Batista de Moura Ziebarth - Diretor SEDGG/ME', 'Vanessa Macedo - Diretora de Programa SEDGG/ME', 'Bruno Bondarovrky - Diretor de Programas SEDGG/ME', 'Gleisson Rubin - Secretário Especial Adjunto de Desburocratização', 'Gestão e Governo Digital - SEDGG/ME', 'Cristiano Heckert - Secretário de Gestão - SEGES/SEDGG/ME', 'Luis Felipe Salin - Secretário Governo Digital - SEDGG/ME', 'Wagner Lenhart - Secretário de Gestão e Desempenho de Pessoas - SEDGG/ME', '']"
Ministério da Economia,Paulo Guedes,2020-03-09 16:30,"Reunião semanal com o secretário de Previdência e Trabalho, Bruno Bianco",Local: Ministério da Economia – Bloco P,"['Marcelo Guaranys - Secretário Executivo', 'Daniella Marques - Chefe da Assessoria Especial de Assuntos Estratégicos ', 'Narlon Nogueira - Secretário de Previdência ', 'Leonardo Rolim - Presidente do INSS', 'Bruno Dalcomo - Secretário de Trabalho', 'Felipe Portela - Secretário Adjunto de Previdência e Trabalho', 'Marcelo Siqueira - Chefe da Assessoria Especial do Ministro', 'Rafaelo Abritta - Assessor Especial do Ministro', '']"
